PassengerId,Survived,fSex,fEmbarked,Pclass,Age,SibSp,Parch,Fare,name_title,name_word_length,name_char_length,cabin_first_letter,ticket_category
1,0,male,S,3,22,1,0,7.25,Mr.,3,16,n,A/5
2,1,female,C,1,38,1,0,71.2833,Mrs.,4,18,C,PC
3,1,female,S,3,26,0,0,7.925,Miss.,2,14,n,STON/O2
4,1,female,S,1,35,1,0,53.1,Mrs.,4,20,C,digit
5,0,male,S,3,35,0,0,8.05,Mr.,3,17,n,digit
6,0,male,Q,3,34,0,0,8.4583,Mr.,2,10,n,digit
7,0,male,S,1,54,0,0,51.8625,Mr.,3,16,E,digit
8,0,male,S,3,2,3,1,21.075,Master.,3,19,n,digit
9,1,female,S,3,27,0,2,11.1333,Mrs.,4,13,n,digit
10,1,female,C,2,14,1,0,30.0708,Mrs.,3,14,n,digit
11,1,female,S,3,4,1,1,16.7,Miss.,3,22,o,other
12,1,female,S,1,58,0,0,26.55,Miss.,2,16,C,digit
13,0,male,S,3,20,0,0,8.05,Mr.,3,23,n,A/5
14,0,male,S,3,39,1,5,31.275,Mr.,3,20,n,digit
15,0,female,S,3,14,0,0,7.8542,Miss.,4,26,n,digit
16,1,female,S,2,55,0,0,16,Mrs.,3,7,n,digit
17,0,male,Q,3,2,4,1,29.125,Master.,2,10,n,digit
18,1,male,S,2,63,0,0,13,Mr.,3,21,n,digit
19,0,female,S,3,31,1,0,18,Mrs.,4,18,n,digit
20,1,female,C,3,24,0,0,7.225,Mrs.,2,16,n,digit
21,0,male,S,2,35,0,0,26,Mr.,3,13,n,digit
22,1,male,S,2,34,0,0,13,Mr.,2,15,D,digit
23,1,female,Q,3,15,0,0,8.0292,Miss.,3,18,n,digit
24,1,male,S,1,28,0,0,35.5,Mr.,3,21,o,digit
25,0,female,S,3,8,3,1,21.075,Miss.,3,20,n,digit
26,1,female,S,3,38,1,5,31.3875,Mrs.,4,16,n,digit
27,0,male,C,3,39,0,0,7.225,Mr.,3,16,n,digit
28,0,male,S,1,19,3,2,263,Mr.,3,23,C,digit
29,1,female,Q,3,13,0,0,7.8792,Miss.,3,20,n,digit
30,0,male,S,3,35,0,0,7.8958,Mr.,2,13,n,digit
31,0,male,C,1,40,0,0,27.7208,Nobility,3,16,n,PC
32,1,female,C,1,51,1,0,146.5208,Mrs.,4,22,B,PC
33,1,female,Q,3,13,0,0,7.75,Miss.,3,15,n,digit
34,0,male,S,2,66,0,0,10.5,Mr.,3,14,n,CA
35,0,male,C,1,28,1,0,82.1708,Mr.,3,16,n,PC
36,0,male,S,1,42,1,0,52,Mr.,3,23,n,digit
37,1,male,C,3,24,0,0,7.2292,Mr.,2,10,n,digit
38,0,male,S,3,21,0,0,8.05,Mr.,3,17,n,A/5
39,0,female,S,3,18,2,0,18,Miss.,4,24,n,digit
40,1,female,C,3,14,1,0,11.2417,Miss.,2,19,n,digit
41,0,female,S,3,40,1,0,9.475,Mrs.,3,10,n,digit
42,0,female,S,2,27,1,0,21,Mrs.,5,23,n,digit
43,0,male,C,3,29,0,0,7.8958,Mr.,2,13,n,digit
44,1,female,C,2,3,1,2,41.5792,Miss.,5,29,n,other
45,1,female,Q,3,19,0,0,7.8792,Miss.,3,20,n,digit
46,0,male,S,3,28,0,0,8.05,Mr.,3,17,n,other
47,0,male,Q,3,49,1,0,15.5,Mr.,2,11,n,digit
48,1,female,Q,3,50,0,0,7.75,Miss.,2,17,n,digit
49,0,male,C,3,19,2,0,21.6792,Mr.,2,13,n,digit
50,0,female,S,3,18,1,0,17.8,Mrs.,3,19,n,digit
51,0,male,S,3,7,4,1,39.6875,Master.,3,15,n,digit
52,0,male,S,3,21,0,0,7.8,Mr.,3,21,n,A/4
