PassengerId,ticket_category,cabin_first_letter,name_title,name_title_raw,name_word_length,name_char_length
1,A/5,n,Mr.,Mr.,3,16
2,PC,C,Mrs.,Mrs.,4,18
3,STON/O2,n,Miss.,Miss.,2,14
4,digit,C,Mrs.,Mrs.,4,20
5,digit,n,Mr.,Mr.,3,17
6,digit,n,Mr.,Mr.,2,10
7,digit,E,Mr.,Mr.,3,16
8,digit,n,Master.,Master.,3,19
9,digit,n,Mrs.,Mrs.,4,13
10,digit,n,Mrs.,Mrs.,3,14
11,other,o,Miss.,Miss.,3,22
12,digit,C,Miss.,Miss.,2,16
13,A/5,n,Mr.,Mr.,3,23
14,digit,n,Mr.,Mr.,3,20
15,digit,n,Miss.,Miss.,4,26
16,digit,n,Mrs.,Mrs.,3,7
17,digit,n,Master.,Master.,2,10
18,digit,n,Mr.,Mr.,3,21
19,digit,n,Mrs.,Mrs.,4,18
20,digit,n,Mrs.,Mrs.,2,16
21,digit,n,Mr.,Mr.,3,13
22,digit,D,Mr.,Mr.,2,15
23,digit,n,Miss.,Miss.,3,18
24,digit,o,Mr.,Mr.,3,21
25,digit,n,Miss.,Miss.,3,20
26,digit,n,Mrs.,Mrs.,4,16
27,digit,n,Mr.,Mr.,3,16
28,digit,C,Mr.,Mr.,3,23
29,digit,n,Miss.,Miss.,3,20
30,digit,n,Mr.,Mr.,2,13
31,PC,n,Nobility,Don.,3,16
32,PC,B,Mrs.,Mrs.,4,22
33,digit,n,Miss.,Miss.,3,15
34,CA,n,Mr.,Mr.,3,14
35,PC,n,Mr.,Mr.,3,16
36,digit,n,Mr.,Mr.,3,23
37,digit,n,Mr.,Mr.,2,10
38,A/5,n,Mr.,Mr.,3,17
39,digit,n,Miss.,Miss.,4,24
40,digit,n,Miss.,Miss.,2,19
41,digit,n,Mrs.,Mrs.,3,10
42,digit,n,Mrs.,Mrs.,5,23
43,digit,n,Mr.,Mr.,2,13
44,other,n,Miss.,Miss.,5,29
45,digit,n,Miss.,Miss.,3,20
46,other,n,Mr.,Mr.,3,17
47,digit,n,Mr.,Mr.,2,11
48,digit,n,Miss.,Miss.,2,17
49,digit,n,Mr.,Mr.,2,13
50,digit,n,Mrs.,Mrs.,3,19
51,digit,n,Master.,Master.,3,15
52,A/4,n,Mr.,Mr.,3,21
